suburb,state,type,lga,num_page_by_lga,policy_names_by_lga
Reeves Plains,SA,Rural locality,Light,38,['Sustainability Strategy and Action Policy 2022-2027']
Mount Alma,QLD,Rural locality,Gladstone,41,"['Council tackles climate change at local level Media Release', 'Biodiversity Conservation Strategic Plan 2016-2025', 'Environment Policy']"
Mount Anketell,WA,Rural locality,Karratha,42,['Environmental Sustainability Strategy']
Mount Barker Junction,SA,Rural locality,Mount Barker,49,"['Mount-Barker-District-Climate-Change-Action-Plan-2019', 'MBDC-Environment-Strategy-2018']"
Mount Barker Springs,SA,Rural locality,Mount Barker,49,"['Mount-Barker-District-Climate-Change-Action-Plan-2019', 'MBDC-Environment-Strategy-2018']"
Mount Barker Summit,SA,Rural locality,Mount Barker,49,"['Mount-Barker-District-Climate-Change-Action-Plan-2019', 'MBDC-Environment-Strategy-2018']"
Mount Barney,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Mount Beckworth,VIC,Rural locality,Hepburn,155,"['final-sustainable-hepburn-strategy', 'toward-zero-emissions-road-map', 'central-highlands-climate-projections-2019']"
Rudall,SA,Rural locality,Cleve,5,['Environmental Policy 5.1']
Sapphiretown,SA,Rural locality,Kangaroo Island,20,['Kangaroo Island Strategic Plan 2020-2024']
Mount Best,VIC,Rural locality,South Gippsland,100,"['Environmental-Sustainbility-Strategy-Framework-Adopted-16-June-2021', 'Council-Plan-2022-2026-2023-24-Initiatives', 'Climate-Change-Action-Plan', 'Coastal-Strategy']"
Mount Bindango,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Mount Binga,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Mount Bolton,VIC,Rural locality,Ballarat,71,"['Carbon-Neutrality-&-100pc-Renewables-Action-Plan', 'City of Ballarat Net Zero Emissions Plan', 'City of Ballarat Biodiversity Vision and Commitment']"
Mount Bruno,VIC,Rural locality,Benalla,57,"['Climate Change Adaptation Action Plan 2013-2025 Information sheet', 'Council Plan 2021-2025 ', 'BRCC Action Plan 2021-25 to June 2023', 'We Live in a Changing Climate Information sheet']"
Mount Bryan,SA,Rural locality,Goyder,94,['Goyder Master Plan 2022-2037']
Mount Bryan East,SA,Rural locality,Goyder,94,['Goyder Master Plan 2022-2037']
Mount Budd,WA,Rural locality,Mingenew,85,['Council Policy Manual - NCCP']
Sceale Bay,SA,Rural locality,Streaky Bay,6,['05.03-Sustainability-and-Environment-Policy']
Freestone,QLD,Rural locality,Southern Downs,64,"['Southern-Downs-Environmental-Sustainability-StrategyFINAL', 'ESS-Action-Plan', 'Climate-Change-Adaptation-Action-Plan']"
Mount Burges,WA,Rural locality,Coolgardie,88,['Annual Report 2021-2022 NCCP']
Mount Burnett,VIC,Rural locality,Cardinia,436,"['Sustainable-Environment-Policy-2018-28', 'Biodiversity-Conservation-Strategy-2019-29', 'Climate-Change-Adaptation-Strategy-2022-2023', 'Cardinia-Shire-Biolink-Plan-2023-33', 'Aspirational-Energy-Transition-Plan-2014-24', 'Council-Enhanced-Standard-Sustainable-Buildings-2020-to-2026', 'Waste-and-Resource-Recovery-Strategy-2017-2026', 'Integrated-Water-Management-Plan', 'Climate-Change-Adaptation-Strategy-Action-plan']"
Mount Burr,SA,Rural locality,Wattle Range,197,"['WRC-Annual-Report', 'policy-2-4-tree-management-120411', 'policy-3-7-general-environmental-policy-150211']"
Mount Burrell,NSW,Rural locality,Tweed,168,"['interim-climate-change-action-plan', 'environmental-sustainability-prioritisation-strategy-2015', 'renewable-energy-action-plan-tweed-shire-council-facilities-october-2017', 'climate-ready-tweed-final-report-july-2023', 'climate-action-community-readiness-survey-summary']"
Upper Freestone,QLD,Rural locality,Southern Downs,64,"['Southern-Downs-Environmental-Sustainability-StrategyFINAL', 'ESS-Action-Plan', 'Climate-Change-Adaptation-Action-Plan']"
Seal Bay,SA,Rural locality,Kangaroo Island,20,['Kangaroo Island Strategic Plan 2020-2024']
Mount Camel,VIC,Rural locality,Greater Bendigo,325,"['City-Greater-Bendigo-Climate-Change-Environment-Strategy-2021-2026', 'City-Greater-Bendigo-Summary-Climate-Change-Environment-Strategy-2021-2026', 'Greater-Bendigo-2030-Zero-Emissions-Roadmap', 'City-Greater-Bendigo-Biodiversity-Strategy-and-Action-Plan-2023-2033', 'City-of-Greater-Bendigo-Zero-Emissions-Plan-Council-Operations', 'City-Greater-Bendigo-Annual-Environment-Report-2021-2022', 'City-Greater-Bendigo-Building-Resilience-Making-Homes-Climate-Ready']"
Seddon,SA,Rural locality,Kangaroo Island,20,['Kangaroo Island Strategic Plan 2020-2024']
Mount Caroline,WA,Rural locality,Kellerberrin,176,['Council Policy Manual Updated June 2023 NCCP']
Seppeltsfield,SA,Rural locality,Light,38,['Sustainability Strategy and Action Policy 2022-2027']
Mount Charles,SA,Rural locality,Tatiara,146,['Final-Tatiara-Coorong-LAP-080312-2']
Mount Charlton,QLD,Rural locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Mount Clarence,WA,Urban locality,Albany,20,"['City of Albany Climate Change Action Declaration', 'Corporate Power Plan 2023-2028']"
Mount Clear,VIC,Urban locality,Ballarat,71,"['Carbon-Neutrality-&-100pc-Renewables-Action-Plan', 'City of Ballarat Net Zero Emissions Plan', 'City of Ballarat Biodiversity Vision and Commitment']"
Mount Colah,NSW,Major Urban locality,Hornsby,658,"['Climate-Wise-Hornsby-Plan-Final', 'Sustainable-Hornsby-2040', 'Water-Sensitive-Hornsby-Strategy', 'HSC5704-Walking-and-Cycling-Strategy-v16', 'Final-Waste-Matters-Strategy-Report-Digital', 'Urban-Forest-Strategy', 'Biodiversity-Conservation-Strategy']"
Upper Glastonbury,QLD,Rural locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Mount Colliery,QLD,Rural locality,Southern Downs,64,"['Southern-Downs-Environmental-Sustainability-StrategyFINAL', 'ESS-Action-Plan', 'Climate-Change-Adaptation-Action-Plan']"
Mount Collins,NSW,Rural locality,Hilltops,48,['Operational Plan 2023-2024 Adopted 28-June-2023']
Mount Coolon,QLD,Rural locality,Whitsunday,48,"['Climate Change Adaptation Policy', '11-ClimateAdaptationStrategy2016-2020', 'Climate Change Mitigation Strategy', 'Cilmate Change Mitigation Policy']"
Mount Coolum,QLD,Major Urban locality,Sunshine Coast,367,"['Sunshine-Coast-Council-And-Climate-Change-Factsheet', 'Zero-net-Emissions-Plan-2022', 'Environment-and-Liveability-Strategy-2017-Part-A', 'Environment-and-Liveability-Strategy-2017-Part-B', 'Environment-and-Liveability-Strategy-2017-Part-C', 'Coastal-Management-Policy']"
Mount Cotton,QLD,Urban locality,Redland,254,"['Green-Living-Policy', 'Climate-Change-Risk-Assessment-Adaptation-Plan', 'Conservation-Land-Management-Strategy', 'Redland-Koala-Conservation-Strategy-2016']"
Mount Crawford,SA,Rural locality,Adelaide Hills,312,"['Biodiversity-Strategy-2019-24', 'Water-Management-Plan-2017', 'LED-lights-Infographic', 'Corporate-Carbon-Management-Plan-2019', 'Waste-and-Resources-Management-Strategy-2017', 'Resource-Recovery-and-Recycling-2019', 'COUNCIL-MEDIA-190329-Adelaide-Hills-Council-declares-Climate-Emergency', 'Climate-Change-Adaptation-Plan']"
Shea-Oak Log,SA,Rural locality,Light,38,['Sustainability Strategy and Action Policy 2022-2027']
Mount Dandenong,VIC,Major Urban locality,Yarra Ranges,297,"['Liveable-Climate-Plan-2020-2030', 'Liveable-Climate-Action-Plan', 'Yarra-Ranges-Council-Sustainability-Report-2021', 'Yarra-Ranges-Council-Sustainability-Report-2022-1', 'Health-and-Wellbeing-Plan-Action-Plan', 'Yarra-Ranges-Council-Asset-Management-Policy-2022-2032', 'Yarra-Ranges-EDS-Economic-Development-Strategy', 'Yarra-Ranges-Domestic-Animal-Management-Plan', 'Environment-Strategy', 'Health-and-Wellbeing-Plan']"
Mount Darragh,NSW,Rural locality,Bega Valley,204,"['Climate Change Risk Assessment Adaptation Report 2010', 'Bega Valley Shire Climate Resilience Strategy 2025']"
Mount Darry,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Mount David,NSW,Rural locality,Oberon,208,['2021-2022 Annual Report - NCCP']
Mount Dee,NSW,Rural locality,Maitland,52,['Environmental-Sustainability-Strategy-DRAFT']
Mount Delaney,QLD,Rural locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
Mount Doran,VIC,Rural locality,Moorabool,61,['Sustainable-Environment-Strategy-2016-26']
Sheringa,SA,Rural locality,Elliston,14,['Council Public Meeting Minutes - 11 July 2023 NCCP']
Barmera,SA,Rural locality,Berri and Barmera,19,['Environmental Management and Sustainability Strategy Adopted July 2020']
Mount Duneed,VIC,Major Urban locality,Greater Geelong,190,"['climate change response plan final', 'sustainability policy-adopted 2february2021', 'sustainability performance report 2022', ' 2023-24 environmental sustainability grant guidelines', 'environment strategy 2020-30', 'sustainability framework 2020', 'our community plan 2021-25', 'environment strategy action plan 2020-2022']"
Sleaford,SA,Rural locality,Lower Eyre Peninsula,22,['Emergency Management Plan Final']
Mount Eccles,VIC,Rural locality,South Gippsland,100,"['Environmental-Sustainbility-Strategy-Framework-Adopted-16-June-2021', 'Council-Plan-2022-2026-2023-24-Initiatives', 'Climate-Change-Action-Plan', 'Coastal-Strategy']"
Mount Egerton,VIC,Urban locality,Moorabool,61,['Sustainable-Environment-Strategy-2016-26']
Mount Eliza,VIC,Major Urban locality,Mornington Peninsula,212,"['Climate Emergency Plan Ensuring Our Future Our Climate Emergency Response', 'CEP - Progress report 2022 - Final', 'Climate Emergency Advocacy Report 2022-23']"
Mount Elphinstone,WA,Urban locality,Albany,20,"['City of Albany Climate Change Action Declaration', 'Corporate Power Plan 2023-2028']"
Mount Emlyn,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Mount Emu,VIC,Rural locality,Pyrenees,96,"['2023.04 Asset Management Policy', '2021.02.21 Climate Change Response Mitigation Plan', 'Environmental Sustainability Strategy 2011', 'Biodiversity Action Plan - 2016']"
Mount Enniskillen,QLD,Rural locality,Blackall-Tambo,277,['MPC Policies and Procedures NCCP']
Goomeri,QLD,Urban locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Mount Evelyn,VIC,Major Urban locality,Yarra Ranges,297,"['Liveable-Climate-Plan-2020-2030', 'Liveable-Climate-Action-Plan', 'Yarra-Ranges-Council-Sustainability-Report-2021', 'Yarra-Ranges-Council-Sustainability-Report-2022-1', 'Health-and-Wellbeing-Plan-Action-Plan', 'Yarra-Ranges-Council-Asset-Management-Policy-2022-2032', 'Yarra-Ranges-EDS-Economic-Development-Strategy', 'Yarra-Ranges-Domestic-Animal-Management-Plan', 'Environment-Strategy', 'Health-and-Wellbeing-Plan']"
Mount Fairy,NSW,Rural locality,Queanbeyan-Palerang Regional,414,"['QPRC-Community-Climate-Change-Action-Plan-updated-20-October-2021', 'Council-Operations-Climate-Change-Action-Plan-updated-20-October-2021', 'QPRC-Urban-Forest-Cooling-Strategy-Final', 'Public-Electric-Vehicle-Charging-Plan-2030', 'Qbyn-River-Riparian-Corridor-and-Platypus-Awareness-and-Conservation-Strategy']"
Mount Field,TAS,Rural locality,Central Highlands,93,['Annual-Report-2021-2022-NCCP']
Mount Forbes,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Goomeribong,QLD,Rural locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Mount Fox,QLD,Rural locality,Hinchinbrook,92,['annual_report_2021-2022NCCP']
Mount Franklin,VIC,Rural locality,Hepburn,155,"['final-sustainable-hepburn-strategy', 'toward-zero-emissions-road-map', 'central-highlands-climate-projections-2019']"
Mount French,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Mount Frome,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Caltowie,SA,Rural locality,Northern Areas,4,['Tree Management Policy']
Mount Garnet,QLD,Urban locality,Tablelands,15,['TRC-Climate-Risk-Management-Strategy']
Mount Gipps,QLD,Rural locality,Scenic Rim,71,"['CLIMATE-CHANGE-STATEMENT-OF-INTENT', 'Scenic-Rim-Biodiversity-Strategy', 'Community-Plan-2011-2016-CCS-Agenda-18-Sept-2018']"
Mount Glasgow,VIC,Rural locality,Central Goldfields,111,"['Central Goldfields Climate Action Plan 2022-2030', 'Climate Conversation Report Oct 2022', 'CGSC Climate Action Plan Report v B.0', 'Central Goldfields Shire Climate Action Plans Summary Factsheet']"
Mount Glorious,QLD,Rural locality,Moreton Bay,88,"['environment-and-sustainability-strategy', 'the-coporate-plan-2022-27-our-healthy-environments', 'climate-change-policy']"
St Johns,SA,Rural locality,Light,38,['Sustainability Strategy and Action Policy 2022-2027']
Mount Hampton,WA,Rural locality,Yilgarn,158,['Council-Policy-Manual-2-NCCP']
St Kitts,SA,Rural locality,Light,38,['Sustainability Strategy and Action Policy 2022-2027']
Mount Harris,NSW,Rural locality,Warren,88,['Annual Report 2021-22-NCCP']
Mount Helen,VIC,Urban locality,Ballarat,71,"['Carbon-Neutrality-&-100pc-Renewables-Action-Plan', 'City of Ballarat Net Zero Emissions Plan', 'City of Ballarat Biodiversity Vision and Commitment']"
Greens Creek,QLD,Rural locality,Gympie,47,"['Climate Change Policy   ', 'Biodiveristy Position Paper', 'Environment Strategy 2018']"
Mount Hicks,TAS,Rural locality,Waratah/Wynyard,87,"['Waratah-Wynyard-Intergrated-Council-Environmental-Plan-iCEP-Aug-2020', 'Environmental-Sustainability-Policy']"
Mount Hill,WA,Rural locality,Greater Geraldton,70,"['Council Policy 3.1 Climate Change', 'Council Policy 3.2 Coastal Adaptation Version 2-1', 'Achieving Net Zero Corporate Climate Change Mitigation Plan']"
Mount Holland,WA,Rural locality,Yilgarn,158,['Council-Policy-Manual-2-NCCP']
Mount Hooghly,VIC,Rural locality,Central Goldfields,111,"['Central Goldfields Climate Action Plan 2022-2030', 'Climate Conversation Report Oct 2022', 'CGSC Climate Action Plan Report v B.0', 'Central Goldfields Shire Climate Action Plans Summary Factsheet']"
Mount Horeb,NSW,Rural locality,Snowy Valleys,126,"['2023-24-delivery-program-and-operational-plan', 'zero-waste-strategy-2019-2030-svc-eng-pln-015-01-adopted-24102019']"
Mount Horner,WA,Rural locality,Irwin,70,['Annual Report NCCP']
Mount Howe,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Mount Hunter,NSW,Rural locality,Wollondilly,53,['Wollondilly-2033-DeliveryProgram-3-Revised']
Mount Hutton,QLD,Rural locality,Maranoa,214,['Annual Report 2021-22 NCCP']
Mount Irving,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Stokes Bay,SA,Rural locality,Kangaroo Island,20,['Kangaroo Island Strategic Plan 2020-2024']
Mount Jackson,WA,Rural locality,Yilgarn,158,['Council-Policy-Manual-2-NCCP']
Mount Johns,NT,Urban locality,Alice Springs,31,"['Climate and Environment Policy', 'Alice Springs Town Council Climate Action Plan']"
Stone Well,SA,Rural locality,Light,38,['Sustainability Strategy and Action Policy 2022-2027']
Mount Jukes,QLD,Rural locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Mount Julian,QLD,Urban locality,Whitsunday,48,"['Climate Change Adaptation Policy', '11-ClimateAdaptationStrategy2016-2020', 'Climate Change Mitigation Strategy', 'Cilmate Change Mitigation Policy']"
Stun'Sail Boom,SA,Rural locality,Kangaroo Island,20,['Kangaroo Island Strategic Plan 2020-2024']
Hazledean,QLD,Rural locality,Mackay,55,"['Climate-Change-Policy-089', 'Environmental-Sustainability-Strategy-PartsA,BandC', 'Environmental-Sustainability-Strategy-PartD-Action-Plan']"
Sunnybrae,SA,Rural locality,Peterborough,9,['Emergency Management Policy']
Mount Knowles,NSW,Rural locality,Mid-Western Regional,92,['2022 Annual Report - NCCP']
Mount Kuring-Gai,NSW,Major Urban locality,Hornsby,658,"['Climate-Wise-Hornsby-Plan-Final', 'Sustainable-Hornsby-2040', 'Water-Sensitive-Hornsby-Strategy', 'HSC5704-Walking-and-Cycling-Strategy-v16', 'Final-Waste-Matters-Strategy-Report-Digital', 'Urban-Forest-Strategy', 'Biodiversity-Conservation-Strategy']"
Mount Kynoch,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Mount Larcom,QLD,Urban locality,Gladstone,41,"['Council tackles climate change at local level Media Release', 'Biodiversity Conservation Strategic Plan 2016-2025', 'Environment Policy']"
Mount Light,SA,Rural locality,Naracoorte and Lucindale,58,['Annual Business Plan 2023-2024 NCCP']
Talia,SA,Rural locality,Elliston,14,['Council Public Meeting Minutes - 11 July 2023 NCCP']
Mount Lofty,QLD,Major Urban locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
Mount Lonarch,VIC,Rural locality,Pyrenees,96,"['2023.04 Asset Management Policy', '2021.02.21 Climate Change Response Mitigation Plan', 'Environmental Sustainability Strategy 2011', 'Biodiversity Action Plan - 2016']"
Mount Louisa,QLD,Major Urban locality,Townsville,69,"['Environmental-Policy-1', 'Survey-Summary-Report', 'Townsville-2021-2026-Corporate-Plan']"
Mount Low,QLD,Major Urban locality,Townsville,69,"['Environmental-Policy-1', 'Survey-Summary-Report', 'Townsville-2021-2026-Corporate-Plan']"
Mount Luke,QLD,Rural locality,Toowoomba,202,"['2023-24-Operational-Plan', 'Sustainable-Transport-Strategic-Plan-Sept2022', 'Environment-Grant-Guidelines-Approved17January2023', 'Environment-Policy-Adopted19July2022', 'Green-Infrastructure-Strategy', 'Corporate-Plan-2019-24']"
